                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.83335,                 1.6315,                0.97312,                0.96881,                0.95931,                 0.9836,                0.76432,                 0.8041,                0.60509,                0.90848,               0.070181,              0.0033133,              0.0033133
                      1,                0.83594,                0.71327,                0.94759,                0.95402,                0.97649,                0.97328,                0.76877,                0.78547,                0.61508,                0.91767,               0.040115,              0.0065808,              0.0065808
                      2,                0.87558,                0.74306,                0.97493,                0.97413,                0.95147,                0.97485,                0.74453,                0.80613,                0.64242,                0.94107,              0.0099831,              0.0097823,              0.0097823
                      3,                0.88867,                0.70355,                0.99233,                0.94191,                0.96029,                0.97682,                0.77191,                0.74212,                0.65732,                0.93813,               0.009703,               0.009703,               0.009703
                      4,                0.86757,                0.65998,                0.98763,                0.98454,                0.93638,                0.98277,                0.78998,                0.76096,                0.56343,                0.93505,               0.009703,               0.009703,               0.009703
                      5,                0.84566,                0.60503,                0.98121,                0.95922,                0.96618,                0.97889,                 0.7733,                0.72429,                0.52554,                0.93245,               0.009604,               0.009604,               0.009604
                      6,                0.83043,                0.57034,                0.97403,                0.95855,                0.96176,                0.98643,                0.81607,                0.71788,                0.48055,                0.92689,               0.009505,               0.009505,               0.009505
                      7,                0.80567,                0.53352,                0.96934,                0.96324,                0.96334,                0.98455,                0.76988,                0.83194,                0.49241,                 0.9697,               0.009406,               0.009406,               0.009406
                      8,                0.81606,                0.53196,                0.97823,                0.97033,                0.96198,                0.98258,                0.80261,                0.71197,                0.47675,                0.92424,               0.009307,               0.009307,               0.009307
                      9,                0.79451,                0.51775,                0.95924,                0.95851,                0.97794,                 0.9871,                 0.8032,                0.68646,                0.48155,                0.91721,               0.009208,               0.009208,               0.009208
                     10,                 0.7791,                0.50487,                0.95412,                0.97769,                0.97059,                0.98905,                0.80461,                0.75873,                0.44491,                0.93006,               0.009109,               0.009109,               0.009109
                     11,                0.76948,                0.48648,                0.95963,                0.97122,                0.97941,                0.99174,                0.84138,                0.65491,                0.44084,                0.90677,                0.00901,                0.00901,                0.00901
                     12,                0.77193,                0.49272,                0.95782,                0.96625,                  0.975,                0.98988,                0.82401,                0.66241,                0.41134,                0.91325,               0.008911,               0.008911,               0.008911
                     13,                0.76363,                0.47684,                 0.9574,                0.97736,                0.98235,                0.99121,                0.83335,                0.67002,                0.40169,                 0.9206,               0.008812,               0.008812,               0.008812
                     14,                0.75647,                0.46491,                0.95355,                  0.981,                 0.9872,                0.99274,                0.83686,                0.67538,                0.39042,                0.92072,               0.008713,               0.008713,               0.008713
                     15,                0.74896,                0.45829,                0.95287,                0.97227,                0.97206,                0.99252,                0.84065,                0.65331,                0.39465,                 0.9217,               0.008614,               0.008614,               0.008614
                     16,                0.75674,                0.45792,                0.95551,                0.98081,                0.98088,                0.99373,                0.84145,                0.67455,                 0.3842,                0.90383,               0.008515,               0.008515,               0.008515
                     17,                0.73931,                0.44484,                0.94579,                0.97381,                0.98429,                0.99247,                  0.833,                0.65344,                0.38907,                0.90862,               0.008416,               0.008416,               0.008416
                     18,                0.73521,                0.44164,                0.94823,                0.98381,                0.98971,                0.99403,                0.84497,                0.63777,                0.37179,                0.90009,               0.008317,               0.008317,               0.008317
                     19,                0.71892,                 0.4279,                 0.9326,                 0.9825,                0.99096,                0.99399,                0.85628,                0.61967,                0.35191,                0.90254,               0.008218,               0.008218,               0.008218
                     20,                0.71349,                0.42396,                0.93959,                 0.9801,                0.98824,                0.99368,                 0.8578,                0.62931,                0.35576,                0.89636,               0.008119,               0.008119,               0.008119
                     21,                0.69837,                0.41613,                0.92848,                0.98087,                0.98011,                0.99322,                0.84648,                0.63259,                0.37342,                0.90411,                0.00802,                0.00802,                0.00802
